iter	Passed	Remaining
0	1	145
1	2	138
2	3	108
3	4	97
4	5	104
5	6	107
6	8	113
7	9	111
8	10	104
9	10	95
10	10	87
11	11	81
12	11	76
13	11	72
14	12	69
15	12	65
16	12	61
17	12	58
18	13	55
19	13	53
20	13	50
21	13	48
22	13	46
23	14	44
24	14	42
25	14	41
26	14	39
27	14	38
28	15	37
29	15	35
30	15	34
31	15	33
32	15	32
33	16	31
34	16	30
35	16	29
36	16	28
37	16	27
38	17	26
39	17	25
40	17	25
41	17	24
42	17	23
43	17	22
44	18	22
45	18	21
46	18	20
47	18	20
48	18	19
49	19	19
50	19	18
51	19	18
52	19	17
53	20	17
54	20	16
55	20	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	21	12
63	21	12
64	22	11
65	22	11
66	22	11
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	23	8
73	23	8
74	24	8
75	24	7
76	24	7
77	24	6
78	24	6
79	25	6
80	25	5
81	25	5
82	25	5
83	25	4
84	26	4
85	26	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	28	0
97	28	0
98	28	0
99	29	0
