iter	Passed	Remaining
0	57	57857
1	58	29017
2	58	19401
3	58	14596
4	58	11711
5	59	9789
6	59	8415
7	59	7383
8	59	6580
9	59	5939
10	60	5413
11	60	4976
12	60	4605
13	60	4287
14	61	4011
15	61	3769
16	61	3555
17	61	3366
18	61	3196
19	62	3043
20	62	2905
21	62	2779
22	62	2665
23	62	2560
24	63	2463
25	63	2374
26	63	2291
27	63	2213
28	63	2141
29	64	2075
30	64	2012
31	64	1954
32	64	1900
33	65	1848
34	65	1799
35	65	1753
36	65	1709
37	65	1668
38	66	1629
39	66	1592
40	66	1555
41	66	1521
42	66	1489
43	67	1459
44	67	1429
45	67	1401
46	67	1374
47	67	1348
48	68	1323
49	68	1300
50	68	1276
51	68	1254
52	69	1233
53	69	1212
54	69	1192
55	69	1173
56	69	1155
57	70	1137
58	70	1119
59	70	1103
60	70	1087
61	70	1071
62	71	1056
63	71	1041
64	71	1027
65	71	1013
66	71	1000
67	72	986
68	72	974
69	72	962
70	72	951
71	72	940
72	73	928
73	73	917
74	73	906
75	73	896
76	73	885
77	74	875
78	74	865
79	74	856
80	74	847
81	74	838
82	74	828
83	75	819
84	75	811
85	75	803
86	75	795
87	75	787
88	76	779
89	76	772
90	76	764
91	76	757
92	76	750
93	77	743
94	77	737
95	77	730
96	77	724
97	78	718
98	78	711
99	78	705
100	78	699
101	78	693
102	78	687
103	79	682
104	79	676
105	79	671
106	79	666
107	80	660
108	80	655
109	80	650
110	80	645
111	80	640
112	80	635
113	81	630
114	81	626
115	81	621
116	81	616
117	81	612
118	82	607
119	82	603
120	82	599
121	82	594
122	82	590
123	83	586
124	83	582
125	83	579
126	83	575
127	83	571
128	84	567
129	84	564
130	84	561
131	84	558
132	85	554
133	85	551
134	85	547
135	85	544
136	85	541
137	86	537
138	86	534
139	86	531
140	86	528
141	86	524
142	87	521
143	87	518
144	87	515
145	87	512
146	87	510
147	88	507
148	88	504
149	88	501
150	88	498
151	88	495
152	89	493
153	89	490
154	89	487
155	89	485
156	89	482
157	90	480
158	90	477
